studnr_a;result;cohort;cohort_blok;cohort_jaar;vooropl_type;profiel;vooropl_profiel;w1_prac;w2_prac;w3_prac;w4_prac;w5_prac;w6_prac;w1_quiz;w2_quiz;w3_quiz;w4_quiz;w5_quiz;w6_quiz;w7_oefen_toets;Category_total;CorrectUnassigned;IncorrectUnassigned;W1_MMLAttemps;W1_MMLMastery;W2_MMLAttemps;W2_MMLMastery;W3_MMLAttemps;W3_MMLMastery;W4_MMLAttemps;W4_MMLMastery;W5_MMLAttemps;W5_MMLMastery;W6_MMLAttemps;W6_MMLMastery;W8_MMLAttemps;W8_MMLMastery;Course;complete;Hoursviewed
663175;10;1314;1314;2013;1;2;12;0;0;0;0;0;0;1;5,63;8;2,33;6;100;0;18,92; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;2,09;0,3
663459;5,5;1314;1314;2013;1;2;12;0;0;0;0;0;0;1;0;0;2;0;0;0;0,46; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;20,61;3,7
664138;9,6;1314;1314;2013;1;5;15;0;0;0;0;0;0;2;4;6;2,33;4;0;0;2,82; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
664163;0;14152;14152;2014;1;5;15;1;1;1;1;0;0;7,78;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
664228;6,1;1314;1314;2013;1;6;16;0;0;0;0;0;0;0;2,75;2;1,33;3;0;0;1,4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;13,5;1,07
664425;5;1314;1314;2013;1;5;15;0;0;0;0;0;0;4;4,5;0;3,67;0;0;0;1,87; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
664509;8,4;1314;1314;2013;1;5;15;0;0;0;0;0;0;2;4,88;6;3,67;3;90;0;16,85; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
664598;4;14151;14151;2014;1;5;15;1;1;1;1;1;1;7,78;8;5;8;0;6,28;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
664608;5,8;14152;14152;2014;2;6;26;1;1;1;1;1;0;10;10;3,86;9;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
664634;0;14151; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
664977;6,5;14151;14151;2014;3;5;35;1;1;1;1;1;1;10;7;7;8;0;7,05;0;0;98;0;41;77,77777778;122;100;57;69,76744186;0;0;0;0;0;0;0;0; ; ; 
665121;6,9;1314;1314;2013;1;2;12;0;0;0;0;0;0;4;4;7;0;5;0;0;3,98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;21,69;1,68
665227;5,5;14151;14151;2014;1;5;15;1;1;1;1;1;1;8,89;6;7;4,5;0;7,31;0;0;198;4;40;100;120;100;92;100;76;100;63;100;83;93,33333333;0;0; ; ; 
665273;3,8;1314;1314;2013;1;2;12;0;0;0;0;0;0;1;3,63;3;3,33;4;0;0;2,73; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;52,26;0,32
665281;10;1314;1314;2013;3;9;39;0;0;0;0;0;0;5;0;0;0;6;0;0;1,69; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
665378;9,8;1314;1314;2013;1;6;16;0;0;0;0;0;0;4;3,75;7;2,33;9;0;0;4,01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
665750;8;1314;1314;2013;1;5;15;0;0;0;0;0;0;2;4;0;1;6;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
