studnr_a,Cijfer,cohort,cohort_blok,vooropl_type,profiel,vooropl_profiel,w1_prac,w2_prac,w3_prac,w4_prac,w5_prac,w6_prac,w1_quiz,w2_quiz,w3_quiz,w4_quiz,w5_quiz,w6_quiz,w7_oefen_toets,Category_total,CorrectUnassigned,IncorrectUnassigned,W1_MMLAttemps,W1_MMLMastery,W2_MMLAttemps,W2_MMLMastery,W3_MMLAttemps,W3_MMLMastery,W4_MMLAttemps,W4_MMLMastery,W5_MMLAttemps,W5_MMLMastery,W6_MMLAttemps,W6_MMLMastery,W8_MMLAttemps,W8_MMLMastery,Course,complete,Hoursviewed
688416,9.9,1314,1314,1,4,14,0,0,0,0,0,0,4,1,5,4.9,6,90,0,17.06, , , , , , , , , , , , , , , , , , , 
688839,9.9,1314,1314,1,5,15,0,0,0,0,0,0,6,9,8,6.33,10,0,0,6.05, , , , , , , , , , , , , , , , ,Java Essential Training,0,0.17
692035,9.9,1314,1314,3,2,32,0,0,0,0,0,0,6,6,9,2,0,0,0,3.54,153,97,53,100,180,100,93,100,6,100,49,100,56,100, , , , , 
693859,9.9,1314,1314,1,6,16,0,0,0,0,0,0,5,3.38,0,0,1,0,0,1.44,153,90,53,100,134,100,297,100,52,100,168,98,138,94, , , , , 
698681,9.9,1314,1314,3,3,33,0,0,0,0,0,0,2,4,3,0.33,5,0,0,2.21,246,3,45,100,147,100,241,100,18,100,126,100,48,100, , , , , 
526122,10,14151,14151,5,0,50,1,1,1,1,1,1,10,9,8.5,4.5,0,0,0,0, , , , , , , , , , , , , , , , , , , 
599977,10,1314,1314,1,4,14,0,0,0,0,0,0,7,6,5,7.23,6,0,0,4.81,250,0,36,100,136,100,294,100,47,100,152,100,159,100, , , , , 
600554,10,14151,14151,1,5,15,0,0,0,0,1,1,10,10,8.5,6,50,10,0,0,225,0,31,100,92,100,86,100,60,100,72,100,126,100,13,100, , , 
602560,10,14151,14151,3,3,33,1,1,1,1,1,1,8.89,8,8.86,8,0,7.69,0,0, , , , , , , , , , , , , , , , , , , 
604831,10,14151,14151,1,6,16,1,1,1,1,1,1,7.78,10,7,6.5,0,8.46,0,0,220,0,42,100,96,100,98,100,84,100,50,100,129,100,10,100, , , 
606581,10,1314,1314,1,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,25,42,100,124,100,209,100,11,100,103,100,129,100, , ,Java Advanced Training,12.28,0.51
619231,10,14151, , , , ,1,1,1,1,1,1,7.78,10,8,9,0,8.59,0,0,225,0,37,100,79,100,62,100,41,100,40,100,68,100,5,100, , , 
619913,10,1314,1314,2,2,22,0,0,0,0,0,0,6,6,9,2.33,5,0,0,4.36,250,0,53,100,136,100,345,100,32,100,141,100,188,100, , , , , 
634443,10,14151,14151,1,5,15,1,1,1,1,1,1,10,9,9,9,0,9.62,0,0,218,0,27,100,119,100,155,100,60,90.90909091,60,100,128,100,9,100, , , 
636784,10,1314,1314,1,2,12,0,0,0,0,0,0,0,3.75,5,3.67,8,0,0,3.14,249,1,27,100,97,100,257,100,12,100,111,100,83,100, , , , , 
